Date,Price,ABC,Sensex,DividendAnnounced,Sentiment,Nifty
15-12-2000,896.6,0.002291655,0.010003102,0,-0.013320991,0.006186732
18-12-2000,896.05,-0.000613429,-0.004289901,0,0.023521438,0.001157293
19-12-2000,908.75,0.014173316,0.016131153,1,0.075102932,0.006464893
20-12-2000,925.75,0.018707015,0.010236683,1,0.031207156,0.012747624
21-12-2000,925.2,-0.000594113,0.013632938,1,-0.121877164,0.021306076
22-12-2000,935,0.010592304,0.0166109,1,-0.025625316,0.02810205
25-12-2000,913.7,-0.022780749,-0.015130039,1,-0.023034504,-0.00878725
26-12-2000,920,0.006895042,0.001184342,1,-0.008144391,0.00076426
27-12-2000,908.35,-0.012663043,-0.018827676,1,-0.171712463,-0.015032994
28-12-2000,899.3,-0.00996312,-0.00506715,1,-0.115605791,-0.016950657
29-12-2000,869.6,-0.033025687,0.002346584,1,0.007421372,0.026056672
01-01-2001,868,-0.001839926,0.002521937,0,0.002395996,0.002766784
02-01-2001,868,0,0.005923257,0,-0.00035832,0.001531134
03-01-2001,872.7,0.005414747,0.00311492,0,-0.034526816,-0.001112805
04-01-2001,899.85,0.031110347,0.007297822,0,0.048666094,-0.011916539
05-01-2001,916.75,0.018780908,0.019753429,1,-0.00084442,-0.002279516
08-01-2001,913.7,-0.00332697,0.017320466,0,-0.010180315,0.011734278
09-01-2001,911.2,-0.002736128,0.006932092,0,0.016243338,0.003013682
10-01-2001,909,-0.002414399,0.00691928,0,0.021712317,-0.009042128
11-01-2001,902.6,-0.007040704,0.000878324,0,-0.026760153,-0.002358149
12-01-2001,883.85,-0.020773322,-0.022088947,0,0.012856592,-0.03796337
15-01-2001,906.6,0.025739662,0.032463745,0,-0.059463354,0.027313676
16-01-2001,910.05,0.003805427,-0.01036587,0,0.133944738,-0.008279667
17-01-2001,893.85,-0.01780122,-0.009385863,0,-0.149292526,-0.004839581
18-01-2001,901.05,0.008055043,0.015433575,0,-0.019913421,0.014742032
19-01-2001,894.9,-0.00682537,0.004184033,0,-0.040127579,0.000284278
22-01-2001,878.25,-0.018605431,0.001102856,1,-0.050890026,0.005933374
23-01-2001,788.9,-0.101736408,-0.01425277,0,-0.084058306,-0.006970961
24-01-2001,818.7,0.037774116,0.015826828,0,0.076918972,0.005729281
25-01-2001,810.05,-0.010565531,0.003683931,0,-0.019029203,0.010732784
26-01-2001,813,0.003641751,0.002039874,0,-0.023915449,0.007572611
